Answer Fragment, ID, Frequency
seeking_are,352,370
take_will,353,1460
is_get,354,763
agree_however,355,200
give_shall,356,224
know_from,357,274
see_not,358,321
see_do,359,261
go_to,360,387
continue_work,361,270
dealt_with,362,460
agree_is,363,1965
is_look,364,349
say_can,365,846
is_aware,366,869
know_as,367,438
introduced_have,368,507
make_can,369,338
put_into,370,293
is_possible,371,573
is_interesting,372,482
considered_by,373,211
are_keen,374,404
take_seriously,375,598
as>regards,376,286
look_should,377,251
is_yes,378,890
note_says,379,205
said_already,380,256
spoke_to,381,200
found_have,382,243
are_indeed,383,212
agree_completely,384,306
is_give,385,368
given_be,386,268
working_hard,387,296
looking_forward,388,225
given_have,389,805
noted_have,390,250
give_will,391,563
make_must,392,397
hope_welcome,393,219
have_must,394,271
working_on,395,350
meet_will,396,254
noticed_have,397,298
bring_will,398,290
work_with,399,446
put_forward,400,238
think_have,401,266
think_are,402,351
referred_to,403,709
take_should,404,272
is_far,405,264
be_helpful,406,209
be_also,407,623
am_confident,408,582
said_was,409,312
learned_is,410,236
so>far,411,441
be_glad,412,267
depend_on,413,324
see_can,414,360
have_shall,415,625
received_have,416,650
been_always,417,400
look_forward,418,1475
increased_in,419,333
take_shall,420,572
are_now,421,554
course_of,422,225
is_crucial,423,324
are_course,424,315
do_shall,425,692
take_must,426,314
deal_with,427,318
are_also,428,237
consulting_are,429,241
recognise_must,430,213
hope_agree,431,200
taken_by,432,284
taken_in,433,325
investing_are,434,240
going_are,435,587
continue_shall,436,762
happening_is,437,246
am_however,438,449
hope_do,439,214
is_work,440,255
is_take,441,687
is_different,442,238
say_would,443,414
need_not,444,223
taken_into,445,396
taken_be,446,653
go_on,447,207
am_interested,448,281
think_was,449,262
referring_to,450,229
is_consider,451,251
is_recognise,452,439
hope_take,453,345
be_possible,454,206
is_continue,455,509
know_are,456,530
know_has,457,244
written_to,458,279
bear_in,459,487
bear_shall,460,244
agree_can,461,201
say_must,462,244
tell_must,463,209
raised_have,464,247
gone_have,465,309
work_will,466,316
tried_have,467,212
write_to,468,797
is_welcome,469,312
listen_to,470,405
understand_will,471,437
tell_will,472,202
announced_have,473,422
benefit_from,474,300
made_available,475,298
made_by,476,376
is_first,477,389
is_secondly,478,217
heard_will,479,237
looking_is,480,397
allow_will,481,227
let_say,482,306
asked_have,483,551
believe_in,484,392
agree_also,485,203
agree_need,486,202
is_given,487,421
provided_have,488,327
talking_about,489,425
talking_are,490,339
done_is,491,327
done_being,492,222
been_successful,493,264
welcome_would,494,205
carried_out,495,333
need_do,496,510
respond_to,497,244
worked_have,498,216
used_be,499,253
be_said,500,244
report_will,501,208
come_have,502,286
thought_should,503,565
be_certainly,504,303
agree_strongly,505,250
been_able,506,357
is_see,507,403
is_go,508,233
have_consider,509,220
want_be,510,373
are_important,511,365
is_introduced,512,207
involved_in,513,421
designed_is,514,258
get_will,515,389
been_since,516,313
benefit_will,517,350
draw_to,518,377
discussed_have,519,331
applies_to,520,232
look_carefully,521,325
was_aware,522,232
agree_much,523,380
have_course,524,201
is_increased,525,214
be_available,526,303
taken_will,527,368
done_in,528,260
write_shall,529,234
draw_shall,530,317
recall_will,531,281
going_on,532,225
need_make,533,283
prepared_are,534,293
pass_on,535,241
made_to,536,418
believe_are,537,411
agreed_have,538,244
getting_are,539,250
consulting_on,540,209
disagree_with,541,354
am_satisfied,542,282
was_right,543,201
taken_is,544,287
take_certainly,545,322
shown_have,546,202
is_think,547,327
intend_do,548,263
depend_will,549,211
is_perhaps,550,201
seems_be,551,271
led_to,552,222
is_come,553,320
come_will,554,508
am_surprised,555,340
confirm_is,556,260
go_not,557,232
am_yes,558,226
is_essential,559,579
shows_is,560,220
seems_to,561,223
welcomed_by,562,231
come_to,563,380
expect_not,564,270
need_also,565,228
write_will,566,350
are_confident,567,200
considering_is,568,294
thought_was,569,314
is_keep,570,217
providing_are,571,300
say_should,572,235
hope_continue,573,282
believe_have,574,290
increasing_are,575,257
considered_is,576,202
considered_being,577,283
mean_will,578,286
say_not,579,438
agree_will,580,245
understand_not,581,245
is_suggest,582,267
depends_on,583,329
is_better,584,325
am_concerned,585,218
know_have,586,224
do_certainly,587,309
publish_will,588,275
risen_has,589,316
take_up,590,278
agree_yes,591,311
got_have,592,237
visited_have,593,280
is_necessary,594,376
agree_about,595,364
have_take,596,254
looking_am,597,282
put_be,598,208
get_not,599,218
is_highlight,600,337
going_am,601,220
going_not,602,243
consider_carefully,603,215
working_ensure,604,280
make_clear,605,521
is_support,606,211
take_can,607,226
let_make,608,277
recognise_will,609,246
looking_be,610,203
prepared_am,611,302
giving_are,612,276
want_would,613,214
was_pleased,614,235
need_look,615,202
